cupc,citem,mprice,sku,cuom,istdpk,pos18
"0","AZC LOBSTER BIG","1259.00","22305.00","KG","1","AZC LOBSTER BIG"
"0","AZC MAKAREL","289.00","22275.00","KG","1","AZC MAKAREL"
"0","AZC MALAGA","469.00","22157.00","KG","1","AZC MALAGA"
"0","AZC MAYAMAYA","189.00","22167.00","KG","1","AZC MAYAMAYA"
"0","AZC MONAMON FRESH","329.00","22303.00","KG","1","AZC MONAMON FRESH"
"0","AZC OCTOPUS","589.00","22309.00","KG","1","AZC OCTOPUS"
"0","AZC OYSTER (NO SHELL)","359.00","22294.00","KG","1","AZC OYSTR(NO SHLL)"
"0","AZC PEELED SHRIMP FRESH JUMBO","659.00","22300.00","KG","1","AZC PLD SHRMP FJMB"
"0","AZC PEELED SHRIMP","489.00","22185.00","KG","1","AZC PEELED SHRIMP"
"0","AZC RAINBOW TROUT","895.00","22318.00","KG","1","AZC RAINBOW TROUT"
"0","AZC SALMON BELLY BIG (PREMIUM)","299.00","22187.00","KG","1","AZC SLMN BLY BGPRM"
"0","AZC SALMON BELLY FRESH (FRESH)","459.00","22277.00","KG","1","AZC SLMN BLLY FRSH"
"0","AZC SALMON HEAD PREMIUM","249.00","22188.00","KG","1","AZC SLMN HDPREMIUM"
"0","AZC SALMON LOCAL","329.00","22278.00","KG","1","AZC SALMON LOCAL"
"0","AZC SALMON WHOLE COHO","829.00","22282.00","KG","1","AZC SLMN WHLE COHO"
"0","AZC SAP SAP","429.00","22324.00","KG","1","AZC SAP SAP"
"0","AZC SARDINE TAWILIS","299.00","22326.00","KG","1","AZC SRDINE TAWILIS"
"0","AZC SCALLOPS WITH SHELL","89.00","22200.00","KG","1","AZC SCLPS WITHSHLL"
"0","AZC SEABASS","779.00","22317.00","KG","1","AZC SEABASS"
"0","AZC SHRIMP LARGE","489.00","22154.00","KG","1","AZC SHRIMP LARGE"
"0","AZC SQUID SMALL","369.00","22295.00","KG","1","AZC SQUID SMALL"
"0","AZC TAB TIM (RED FISH)","489.00","22290.00","KG","1","AZC TAB TIM RD FSH"
"0","AZC TAHONG SHELL","89.00","22199.00","KG","1","AZC TAHONG SHELL"
"0","AZC TALABA WITH SHELL","140.00","22176.00","KG","1","AZC TLBA WITH SHLL"
"0","AZC TALAKITOK","429.00","22283.00","KG","1","AZC TALAKITOK"
"0","AZC TILAPIA LARGE","249.00","22293.00","KG","1","AZC TILAPIA LARGE"
"0","AZC TILAPIA","139.00","22163.00","KG","1","AZC TILAPIA"
"0","AZC TULINGAN","379.00","22330.00","KG","1","AZC TULINGAN"
"0","AZC TUNA BELLY","640.00","22195.00","KG","1","AZC TUNA BELLY"
"0","AZC TUNA PANGA PREMIUM","520.00","22194.00","KG","1","AZC TN PNGA PRMIUM"
